PRECINCT,NAME,VOTERS,BALLOTS,GEORGE MCKENNA,ALEX JOHNSON
2500001A,GARDENA,863,101,55,44
2500002A,GARDENA,1024,153,90,61
2500005A,GARDENA,815,95,48,47
2500007A,GARDENA,1025,111,53,58
2500008A,GARDENA,1165,120,53,67
2500041A,GARDENA,1143,73,33,40
2500046A,GARDENA,1108,127,57,70
2700092A,HAWTHORNE,1140,135,86,49
2700094A,HAWTHORNE,1015,136,80,55
2950022B,INGLEWOOD,257,38,26,12
7510001A,VIEW PARK,1245,273,204,67
7510003C,VIEW PARK,1371,271,182,89
7510004A,VIEW PARK,772,128,73,54
7510006A,VIEW PARK,1275,213,117,95
7510008A,VIEW PARK,1063,252,170,81
7510009B,VIEW PARK,1282,245,152,90
7510010A,VIEW PARK,969,238,178,59
7510012A,VIEW PARK,1025,315,236,78
7670001A,WEST ATHENS,1127,59,33,23
7670003A,WEST ATHENS,1125,62,27,34
7670004A,WEST ATHENS,1165,57,22,33
7670005A,WEST ATHENS,849,42,16,26
7670006A,WEST ATHENS,1111,157,100,56
7670007A,WEST ATHENS,865,43,17,24
7670009A,WEST ATHENS,1209,42,18,24
7670010A,WEST ATHENS,1101,78,28,50
7670011A,WEST ATHENS,760,89,51,38
7670012B,WEST ATHENS,1178,108,55,52
7670013A,WEST ATHENS,841,101,53,44
7670014A,WEST ATHENS,978,35,16,18
7670015A,WEST ATHENS,755,30,14,16
7670016A,WEST ATHENS,950,41,22,18
7670017A,WEST ATHENS,1052,58,37,20
7670018A,WEST ATHENS,894,86,44,41
7670019A,WEST ATHENS,791,68,40,26
7670020A,WEST ATHENS,974,141,58,82
7670021A,WEST ATHENS,856,113,71,41
7670022A,WEST ATHENS,1060,42,26,16
7670023A,WEST ATHENS,949,94,56,38
7670024A,WEST ATHENS,831,68,39,28
9000002A,LOS ANGELES,840,107,66,40
9000006A,LOS ANGELES,1292,146,95,51
9000272A,LOS ANGELES,723,92,55,37
9000282A,LOS ANGELES,1141,68,37,31
9000283A,LOS ANGELES,1043,124,59,65
9000284C,LOS ANGELES,959,153,71,82
9000285A,LOS ANGELES,1256,192,78,111
9000288A,LOS ANGELES,1286,227,117,110
9000296C,LOS ANGELES,1277,114,61,50
9000366A,LOS ANGELES,1160,118,39,79
9000533A,LOS ANGELES,1103,72,29,42
9000554A,LOS ANGELES,551,1,1,0
9000650C,LOS ANGELES,1364,86,29,53
9000824A,LOS ANGELES,751,42,17,25
9000908A,LOS ANGELES,1057,112,42,70
9000944A,LOS ANGELES,1263,86,44,42
9000945B,LOS ANGELES,1095,103,36,66
9000948A,LOS ANGELES,1120,257,183,71
9001000A,LOS ANGELES,760,85,34,49
9001000C,LOS ANGELES,687,40,12,28
9001024A,LOS ANGELES,948,44,16,27
9001026C,LOS ANGELES,1062,73,29,42
9001030A,LOS ANGELES,1160,102,52,50
9001111A,LOS ANGELES,1189,63,36,26
9001175A,LOS ANGELES,1325,135,78,57
9001189B,LOS ANGELES,956,60,28,32
9001190D,LOS ANGELES,989,92,57,34
9001246A,LOS ANGELES,1187,102,63,39
9001256B,LOS ANGELES,352,31,21,10
9001257B,LOS ANGELES,1174,105,73,32
9001290A,LOS ANGELES,1242,226,155,66
9001291A,LOS ANGELES,1336,78,38,40
9001434A,LOS ANGELES,1089,93,62,30
9001444A,LOS ANGELES,1350,72,45,27
9001449A,LOS ANGELES,1314,88,48,40
9001454A,LOS ANGELES,1122,176,106,69
9001455A,LOS ANGELES,848,127,84,39
9001456A,LOS ANGELES,1349,186,131,54
9001457A,LOS ANGELES,1323,92,34,56
9001461A,LOS ANGELES,1096,69,46,23
9001463A,LOS ANGELES,1192,95,62,32
9001465C,LOS ANGELES,1311,142,69,68
9001470B,LOS ANGELES,897,84,37,46
9001471A,LOS ANGELES,1171,142,88,52
9001472A,LOS ANGELES,1359,196,125,69
9001474C,LOS ANGELES,1042,178,120,57
9001480A,LOS ANGELES,1256,49,25,24
9001485A,LOS ANGELES,1175,59,27,32
9001490A,LOS ANGELES,1222,60,32,28
9001492A,LOS ANGELES,1110,92,37,54
9001502A,LOS ANGELES,794,41,26,15
9001522A,LOS ANGELES,1097,103,58,43
9001525A,LOS ANGELES,1301,156,89,67
9001532A,LOS ANGELES,1063,102,65,36
9001533A,LOS ANGELES,758,47,27,19
9001535A,LOS ANGELES,1073,44,19,25
9001551A,LOS ANGELES,1070,116,58,56
9001582B,LOS ANGELES,537,25,9,15
9001582C,LOS ANGELES,1020,47,18,29
9001583B,LOS ANGELES,1259,47,28,18
9001591C,LOS ANGELES,1171,53,18,35
9001613D,LOS ANGELES,829,85,53,31
9001617A,LOS ANGELES,858,60,24,35
9001621A,LOS ANGELES,1060,116,66,49
9001623A,LOS ANGELES,868,83,56,27
9001681A,LOS ANGELES,1016,77,36,41
9001684A,LOS ANGELES,1162,50,25,25
9001711A,LOS ANGELES,1077,138,80,57
9001716A,LOS ANGELES,1284,101,41,57
9001719A,LOS ANGELES,934,37,12,25
9001721A,LOS ANGELES,1118,72,22,49
9001725A,LOS ANGELES,746,65,24,39
9001727A,LOS ANGELES,816,52,21,30
9001729A,LOS ANGELES,1339,163,81,77
9001730B,LOS ANGELES,973,162,95,67
9001738A,LOS ANGELES,697,80,36,43
9001747A,LOS ANGELES,1169,99,48,49
9001751A,LOS ANGELES,1211,46,16,26
9001755A,LOS ANGELES,1227,88,34,52
9001757A,LOS ANGELES,738,36,20,16
9001762A,LOS ANGELES,1140,78,28,50
9001764A,LOS ANGELES,1194,101,52,48
9001765A,LOS ANGELES,908,76,38,38
9001767A,LOS ANGELES,851,78,38,40
9001768A,LOS ANGELES,1164,86,35,51
9001769C,LOS ANGELES,1219,104,46,58
9001770A,LOS ANGELES,1116,89,34,55
9001776B,LOS ANGELES,1267,131,55,72
9001777B,LOS ANGELES,878,82,31,50
9001779C,LOS ANGELES,923,75,40,35
9001782A,LOS ANGELES,955,80,30,50
9001782B,LOS ANGELES,749,41,15,26
9001783A,LOS ANGELES,1227,99,47,49
9001784A,LOS ANGELES,1236,113,59,52
9001785A,LOS ANGELES,1209,108,36,72
9001786A,LOS ANGELES,985,106,50,56
9001787A,LOS ANGELES,989,96,54,41
9001799A,LOS ANGELES,1217,32,10,22
9001929A,LOS ANGELES,1062,12,7,5
9001942A,LOS ANGELES,676,0,0,0
9001956A,LOS ANGELES,1059,38,16,22
9001961A,LOS ANGELES,1081,52,18,33
9001984B,LOS ANGELES,1122,57,33,24
9001985A,LOS ANGELES,1204,63,28,33
9002001A,LOS ANGELES,1153,75,33,42
9002009A,LOS ANGELES,890,82,35,46
