TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200500A,211110,Oil & gas extraction,13,$15836552.00
200500A,234920,Power and Communication Transmission Line Construction (1997 NAICS),14,$1530172.00
200500A,234990,Other Heavy and Civil Engineering Construction,44,$105240719.18
200500A,235410,Masonry and Stone Contractors (1997 NAICS),16,$501729.00
200500A,235810,Water Well Drilling Contractors (1997 NAICS),1,$0.00
200500A,235910,Structural Steel Erection Contractors (1997 NAICS),58,$40801951.00
200500A,235920,Glass and Glazing Contractors (1997 NAICS),97,$14446178.80
200500A,311300,Sugar & confectionery product mfg.,9,$6054676.00
200500A,311600,Animal Slaughtering and Processing ,4,$0.00
200500A,312000,Beverage & tobacco product mfg.,4,$0.00
200500A,313000,Textile mills,16,$5115504.00
200500A,321000,Wood product mfg.,24,$8537022.00
200500A,322000,Paper mfg.,16,$12750171.00
200500A,324100,Petroleum & coal products mfg.,6,$3745924.00
200500A,325100,Basic chemical mfg.,6,$1912290.00
200500A,326000,Plastics & rubber products mfg.,26,$28168578.00
200500A,331000,Primary metal mfg.,13,$9496132.00
200500A,336000,Transportation equipment mfg.,43,$63335960.00
200500A,423910,Sporting & recreational goods & supplies,137,$111191980.00
200500A,424500,Farm product raw materials,39,$46084152.00
200500A,424700,Petroleum & petroleum products,56,$1543290389.00
200500A,424800,"Beer, wine, & distilled alcoholic beverage",33,$10952062.00
200500A,424910,Farm supplies,17,$55004301.00
200500A,425110,Business to business electronic markets,13,$119443.00
200500A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),1,$0.00
200500A,441221,Motorcycle dealers,21,$12140428.00
200500A,443130,Camera & photographic supplies stores,84,$24135262.00
200500A,444110,Home centers,12,$53131236.00
200500A,444200,Lawn & garden equipment & supplies stores,72,$24784289.00
200500A,445220,Fish & seafood markets,8,$4460676.00
200500A,448120,Women's clothing stores,80,$15889614.00
200500A,448320,Luggage & leather goods stores,45,$14042180.00
200500A,453910,Pet & pet supplies stores,32,$41181461.00
200500A,453930,Manufacture (mobile) home dealers,20,$182493416.00
200500A,454112,Electronic auctions,1,$0.00
200500A,484200,Specialized freight trucking (including household moving vans),19,$628856.00
200500A,485210,Interurban & rural bus transportation,4,$0.00
200500A,485410,School & employee bus transportation,12,$1000.00
200500A,485510,Charter bus industry,7,$84999.00
200500A,513322,Cellular and Other Wireless Telecommunications,9,$304850624.00
200500A,513330,Telecommunications Resellers,1,$0.00
200500A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",19,$2035454.00
200500A,523110,Investment bankers & securities dealers,26,$65113245.00
200500A,523130,Commodity contracts dealers,8,$740889.00
200500A,523140,Commodity contracts brokers,20,$22955642.00
200500A,523210,Securities & commodity exchanges,9,$13472792.00
200500A,531320,Offices of real estate appraisers,56,$5336664.00
200500A,532230,Video tape & disc rental,86,$8234612.00
200500A,532310,General rental centers,15,$11519874.00
200500A,541340,Drafting services,28,$304652.00
200500A,541350,Building inspection services,24,$502510.00
200500A,541370,Surveying & mapping (except geophysical) services,38,$12384611.00
200500A,541910,Market research & public opinion polling,76,$118598276.00
200500A,541930,Translation & interpretation services,46,$5253495.00
200500A,561210,Facilities support (management) services,37,$24020706.00
200500A,561450,Credit bureaus,14,$8195235.00
200500A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",45,$14586541.00
200500A,621391,Offices of podiatrists,89,$16425881.00
200500A,624200,"Community food & housing, & emergency & other relief services",14,$789178.00
200500A,624310,Vocational rehabilitation services,9,$5956450.00
200500A,713100,Amusement parks & arcades,22,$245254.00
200500A,713200,Gambling industries,4,$0.00
200500A,811410,Home & garden equipment & appliance repair & maintenance,78,$2909728.00
200500A,811420,Reupholstery & furniture repair,125,$17317098.00
200500A,811430,Footwear & leather goods repair,111,$4853943.00
200500A,812210,Funeral homes & funeral services,31,$18309063.00
200500A,812220,Cemeteries & crematories,13,$14693158.00
200500A,812910,Pet care (except veterinary) services,56,$8022999.00
200500A,813000,"Religious, grantmaking, civic, professional, & similar organizations",20,$1722380.00
200600A,234920,Power and Communication Transmission Line Construction (1997 NAICS),23,$2252498.00
200600A,234990,Other Heavy and Civil Engineering Construction,49,$102305408.00
200600A,235410,Masonry and Stone Contractors (1997 NAICS),26,$3054104.00
200600A,235810,Water Well Drilling Contractors (1997 NAICS),3,$0.00
200600A,235910,Structural Steel Erection Contractors (1997 NAICS),66,$36969776.00
200600A,235920,Glass and Glazing Contractors (1997 NAICS),112,$23231284.62
200600A,311300,Sugar & confectionery product mfg.,13,$6455145.00
200600A,311600,Animal Slaughtering and Processing ,5,$256099.00
200600A,312000,Beverage & tobacco product mfg.,10,$142763.00
200600A,321000,Wood product mfg.,44,$7759179.00
200600A,322000,Paper mfg.,21,$12179986.00
200600A,324100,Petroleum & coal products mfg.,7,$4474773.00
200600A,325100,Basic chemical mfg.,7,$5607763.00
200600A,326000,Plastics & rubber products mfg.,41,$36053079.00
200600A,331000,Primary metal mfg.,17,$3879031.00
200600A,336000,Transportation equipment mfg.,48,$96164556.00
200600A,423910,Sporting & recreational goods & supplies,148,$138059156.00
200600A,424500,Farm product raw materials,41,$63019951.00
200600A,424700,Petroleum & petroleum products,60,$2026783865.00
200600A,424800,"Beer, wine, & distilled alcoholic beverage",40,$17850288.00
200600A,424910,Farm supplies,17,$57079554.00
200600A,425110,Business to business electronic markets,21,$236480.35
200600A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),1,$0.00
200600A,441221,Motorcycle dealers,21,$11212481.00
200600A,444110,Home centers,19,$89454654.00
200600A,444200,Lawn & garden equipment & supplies stores,77,$25857947.00
200600A,445220,Fish & seafood markets,18,$9633860.00
200600A,448320,Luggage & leather goods stores,47,$14953378.00
200600A,451130,"Sewing, needlework, & piece goods stores",52,$17829942.00
200600A,453910,Pet & pet supplies stores,53,$44870210.00
200600A,453930,Manufacture (mobile) home dealers,25,$212914431.00
200600A,454112,Electronic auctions,3,$0.00
200600A,484200,Specialized freight trucking (including household moving vans),36,$608647.80
200600A,485410,School & employee bus transportation,12,$0.00
200600A,485510,Charter bus industry,14,$94435.00
200600A,485990,Other transit & ground passenger transportation,89,$77349.00
200600A,513322,Cellular and Other Wireless Telecommunications,9,$692736692.00
200600A,513330,Telecommunications Resellers,5,$904.00
200600A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",34,$7237425.00
200600A,523110,Investment bankers & securities dealers,39,$119530664.00
200600A,523130,Commodity contracts dealers,10,$834428.00
200600A,523140,Commodity contracts brokers,20,$25107443.00
200600A,523210,Securities & commodity exchanges,9,$16449795.00
200600A,524290,Other insurance related activities,70,$68056433.00
200600A,531320,Offices of real estate appraisers,80,$6343703.65
200600A,532230,Video tape & disc rental,90,$10022839.00
200600A,532310,General rental centers,20,$17931758.00
200600A,541340,Drafting services,52,$1403626.00
200600A,541350,Building inspection services,31,$1786127.00
200600A,541370,Surveying & mapping (except geophysical) services,40,$10771331.00
200600A,541910,Market research & public opinion polling,103,$125764610.00
200600A,561450,Credit bureaus,16,$7978682.00
200600A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",70,$14926202.50
200600A,621391,Offices of podiatrists,92,$17209561.00
200600A,624200,"Community food & housing, & emergency & other relief services",26,$512845.00
200600A,624310,Vocational rehabilitation services,13,$9695593.00
200600A,712100,"Museums, historical sites, & similar institutions",2,$0.00
200600A,713100,Amusement parks & arcades,26,$866935.00
200600A,713200,Gambling industries,6,$307623.00
200600A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,143,$29964877.00
200600A,811420,Reupholstery & furniture repair,151,$20775452.00
200600A,811430,Footwear & leather goods repair,121,$5124535.00
200600A,812210,Funeral homes & funeral services,33,$19711976.00
200600A,812220,Cemeteries & crematories,11,$14988214.00
200600A,813000,"Religious, grantmaking, civic, professional, & similar organizations",43,$2207168.00
200700A,234920,Power and Communication Transmission Line Construction (1997 NAICS),32,$4449316.00
200700A,234990,Other Heavy and Civil Engineering Construction,55,$142134827.00
200700A,235410,Masonry and Stone Contractors (1997 NAICS),34,$9560932.00
200700A,235810,Water Well Drilling Contractors (1997 NAICS),6,$3636722.00
200700A,235910,Structural Steel Erection Contractors (1997 NAICS),74,$68170925.00
200700A,235920,Glass and Glazing Contractors (1997 NAICS),126,$31891581.00
200700A,238290,Other building equipment contractors,217,$207947167.00
200700A,311300,Sugar & confectionery product mfg.,28,$7528896.00
200700A,311600,Animal Slaughtering and Processing ,7,$224543.00
200700A,325100,Basic chemical mfg.,11,$8594944.00
200700A,326000,Plastics & rubber products mfg.,49,$30119444.00
200700A,336000,Transportation equipment mfg.,56,$88168409.00
200700A,424500,Farm product raw materials,45,$70653424.00
200700A,424700,Petroleum & petroleum products,62,$2381922971.00
200700A,424800,"Beer, wine, & distilled alcoholic beverage",46,$27107944.00
200700A,424910,Farm supplies,17,$32300820.00
200700A,425110,Business to business electronic markets,31,$1865087.00
200700A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),3,$0.00
200700A,441221,Motorcycle dealers,24,$10427920.00
200700A,444110,Home centers,30,$121727169.00
200700A,444200,Lawn & garden equipment & supplies stores,86,$26387733.00
200700A,448320,Luggage & leather goods stores,57,$15963194.00
200700A,451130,"Sewing, needlework, & piece goods stores",57,$15850031.00
200700A,453930,Manufacture (mobile) home dealers,30,$221740989.00
200700A,454112,Electronic auctions,5,$99064.00
200700A,485410,School & employee bus transportation,13,$0.00
200700A,485510,Charter bus industry,24,$88766.00
200700A,513322,Cellular and Other Wireless Telecommunications,10,$779583878.00
200700A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",44,$9293587.00
200700A,523130,Commodity contracts dealers,22,$780721.00
200700A,523140,Commodity contracts brokers,23,$27591483.00
200700A,523210,Securities & commodity exchanges,10,$17471799.00
200700A,532230,Video tape & disc rental,97,$9122672.00
200700A,532310,General rental centers,28,$23130485.00
200700A,541340,Drafting services,83,$2678546.71
200700A,541350,Building inspection services,42,$2321572.56
200700A,541370,Surveying & mapping (except geophysical) services,43,$12665166.00
200700A,561450,Credit bureaus,19,$8978743.00
200700A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",97,$19818873.00
200700A,621391,Offices of podiatrists,93,$19320759.00
200700A,624200,"Community food & housing, & emergency & other relief services",58,$253628.00
200700A,624310,Vocational rehabilitation services,27,$11276976.00
200700A,712100,"Museums, historical sites, & similar institutions",6,$17437.00
200700A,713100,Amusement parks & arcades,31,$4312524.00
200700A,713200,Gambling industries,6,$431475.00
200700A,811420,Reupholstery & furniture repair,167,$20225288.00
200700A,811430,Footwear & leather goods repair,128,$5464657.00
200700A,812210,Funeral homes & funeral services,39,$19908973.00
200700A,812220,Cemeteries & crematories,10,$16531592.00
200800A,234920,Power and Communication Transmission Line Construction (1997 NAICS),38,$9377236.00
200800A,234990,Other Heavy and Civil Engineering Construction,65,$106517026.00
200800A,235410,Masonry and Stone Contractors (1997 NAICS),41,$7750489.00
200800A,235810,Water Well Drilling Contractors (1997 NAICS),9,$3880596.00
200800A,235920,Glass and Glazing Contractors (1997 NAICS),140,$35779574.00
200800A,311600,Animal Slaughtering and Processing ,11,$378336.00
200800A,322000,Paper mfg.,41,$20856865.00
200800A,325100,Basic chemical mfg.,13,$13909782.89
200800A,326000,Plastics & rubber products mfg.,60,$14439181.00
200800A,424500,Farm product raw materials,45,$72708242.00
200800A,424700,Petroleum & petroleum products,68,$2330231163.00
200800A,424800,"Beer, wine, & distilled alcoholic beverage",57,$26526148.00
200800A,424910,Farm supplies,17,$27531080.00
200800A,425110,Business to business electronic markets,43,$12339167.00
200800A,441221,Motorcycle dealers,30,$10799073.00
200800A,444110,Home centers,35,$128163049.00
200800A,444200,Lawn & garden equipment & supplies stores,95,$29282753.00
200800A,451130,"Sewing, needlework, & piece goods stores",62,$18047199.00
200800A,453930,Manufacture (mobile) home dealers,36,$233785067.00
200800A,454112,Electronic auctions,9,$157855.00
200800A,484200,Specialized freight trucking (including household moving vans),73,$1014295.00
200800A,485410,School & employee bus transportation,16,$0.00
200800A,485510,Charter bus industry,35,$424339.00
200800A,513322,Cellular and Other Wireless Telecommunications,13,$892007828.00
200800A,523130,Commodity contracts dealers,34,$3215520.09
200800A,523140,Commodity contracts brokers,27,$30000595.00
200800A,523210,Securities & commodity exchanges,11,$24373450.00
200800A,524290,Other insurance related activities,106,$82903496.00
200800A,532310,General rental centers,43,$25226681.00
200800A,541340,Drafting services,102,$3226343.28
200800A,561450,Credit bureaus,21,$9270233.00
200800A,621391,Offices of podiatrists,97,$20561490.00
200800A,624200,"Community food & housing, & emergency & other relief services",62,$748758.51
200800A,624310,Vocational rehabilitation services,31,$11947287.00
200800A,712100,"Museums, historical sites, & similar institutions",4,$0.00
200800A,713100,Amusement parks & arcades,33,$24174760.00
200800A,713200,Gambling industries,7,$1401547.00
200800A,811420,Reupholstery & furniture repair,182,$24009305.00
200800A,812210,Funeral homes & funeral services,45,$21652144.00
200800A,812220,Cemeteries & crematories,13,$17293870.00
200900A,234990,Other Heavy and Civil Engineering Construction,72,$58014743.00
200900A,235810,Water Well Drilling Contractors (1997 NAICS),10,$15010951.00
200900A,311600,Animal Slaughtering and Processing ,15,$856586.00
200900A,325900,Other chemical products & preparation mfg.,93,$36407968.00
200900A,424800,"Beer, wine, & distilled alcoholic beverage",68,$33700806.00
200900A,424910,Farm supplies,17,$31671773.00
200900A,441221,Motorcycle dealers,35,$10207876.00
200900A,444110,Home centers,37,$110181507.00
200900A,444200,Lawn & garden equipment & supplies stores,98,$28281194.00
200900A,451130,"Sewing, needlework, & piece goods stores",63,$18145158.00
200900A,453930,Manufacture (mobile) home dealers,44,$183271934.00
200900A,454112,Electronic auctions,9,$168249.00
200900A,484200,Specialized freight trucking (including household moving vans),92,$1797460.00
200900A,485510,Charter bus industry,34,$48373213.00
200900A,485990,Other transit & ground passenger transportation,181,$439835.00
200900A,513322,Cellular and Other Wireless Telecommunications,14,$956474575.00
200900A,523130,Commodity contracts dealers,42,$3669994.26
200900A,523140,Commodity contracts brokers,32,$27719675.00
200900A,523210,Securities & commodity exchanges,10,$41228526.00
200900A,532310,General rental centers,47,$28639000.00
200900A,561450,Credit bureaus,25,$8931132.00
200900A,621320,Offices of optometrists,143,$45986961.00
200900A,621391,Offices of podiatrists,102,$19939615.00
200900A,624310,Vocational rehabilitation services,50,$12227168.00
200900A,712100,"Museums, historical sites, & similar institutions",7,$92752.00
200900A,713100,Amusement parks & arcades,36,$25226726.00
200900A,713200,Gambling industries,7,$1467623.00
200900A,812220,Cemeteries & crematories,14,$18373830.00
201000A,234990,Other Heavy and Civil Engineering Construction,80,$77654424.00
201000A,235810,Water Well Drilling Contractors (1997 NAICS),12,$7761340.00
201000A,311600,Animal Slaughtering and Processing ,15,$823712.00
201000A,325900,Other chemical products & preparation mfg.,103,$32351322.00
201000A,424800,"Beer, wine, & distilled alcoholic beverage",81,$26027206.55
201000A,424910,Farm supplies,17,$34214250.00
201000A,441221,Motorcycle dealers,40,$9409588.00
201000A,444110,Home centers,39,$105041006.00
201000A,444200,Lawn & garden equipment & supplies stores,103,$28183249.00
201000A,451130,"Sewing, needlework, & piece goods stores",69,$19250420.00
201000A,453930,Manufacture (mobile) home dealers,52,$135447934.00
201000A,454112,Electronic auctions,12,$172485.00
201000A,485510,Charter bus industry,34,$28696965.00
201000A,523130,Commodity contracts dealers,45,$5880564.04
201000A,523210,Securities & commodity exchanges,11,$45419136.00
201000A,532310,General rental centers,54,$30169668.00
201000A,541350,Building inspection services,71,$6077953.00
201000A,561450,Credit bureaus,27,$8974340.00
201000A,712100,"Museums, historical sites, & similar institutions",9,$3098244.00
201000A,713100,Amusement parks & arcades,35,$24774047.00
201000A,713200,Gambling industries,11,$1725730.00
201100A,235810,Water Well Drilling Contractors (1997 NAICS),15,$3911376.00
201100A,311600,Animal Slaughtering and Processing ,15,$16167658.00
201100A,424910,Farm supplies,17,$40376116.00
201100A,441221,Motorcycle dealers,50,$9158961.00
201100A,444110,Home centers,46,$141691088.00
201100A,444200,Lawn & garden equipment & supplies stores,114,$37335057.00
201100A,451130,"Sewing, needlework, & piece goods stores",75,$18831716.00
201100A,453930,Manufacture (mobile) home dealers,46,$132455613.00
201100A,454112,Electronic auctions,15,$268330.00
201100A,485510,Charter bus industry,36,$29666335.00
201100A,523210,Securities & commodity exchanges,14,$60674352.00
201100A,532310,General rental centers,61,$29450718.00
201100A,541350,Building inspection services,87,$4702678.00
201100A,561450,Credit bureaus,29,$8869415.00
201100A,712100,"Museums, historical sites, & similar institutions",14,$8480527.00
201100A,713100,Amusement parks & arcades,33,$22111894.00
201200A,235810,Water Well Drilling Contractors (1997 NAICS),17,$5045876.00
201200A,424910,Farm supplies,18,$43968401.00
201200A,441221,Motorcycle dealers,50,$12456501.00
201200A,444110,Home centers,47,$154927229.00
201200A,445220,Fish & seafood markets,72,$48359601.00
201200A,451130,"Sewing, needlework, & piece goods stores",78,$23204463.00
201200A,453930,Manufacture (mobile) home dealers,55,$19594078.00
201200A,485510,Charter bus industry,45,$26658145.00
201200A,523130,Commodity contracts dealers,53,$12471032.00
201200A,523210,Securities & commodity exchanges,16,$85722467.00
201200A,561450,Credit bureaus,31,$8340254.00
201200A,561621,Security Systems Services (except locksmiths),1,$0.00
201200A,712100,"Museums, historical sites, & similar institutions",12,$9731179.00
201200A,713100,Amusement parks & arcades,34,$21498074.00
201300A,221000,Utilities,1,$0.00
201300A,235810,Water Well Drilling Contractors (1997 NAICS),20,$5974839.00
201300A,441221,Motorcycle dealers,55,$15930028.00
201300A,453930,Manufacture (mobile) home dealers,63,$21822435.00
201300A,485990,Other transit & ground passenger transportation,303,$4856634.00
201300A,523130,Commodity contracts dealers,57,$11687217.00
201300A,523210,Securities & commodity exchanges,17,$115521801.00
201300A,561450,Credit bureaus,28,$7754306.00
201300A,561621,Security Systems Services (except locksmiths),3,$0.00
201300A,712100,"Museums, historical sites, & similar institutions",15,$10654454.00
201300A,713100,Amusement parks & arcades,35,$22092304.00
201300A,812210,Funeral homes & funeral services,60,$19556129.00
201100A,312000,Beverage & tobacco product mfg.,28,$195281.00
200600A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),119,$288533392.00
200700A,448130,Children's & infants' clothing stores,147,$27594287.00
200800A,561600,Investigation & security services,629,$361392207.00
200800A,211110,Oil & gas extraction,41,$65323934.00
200800A,541320,Landscape architecture services,794,$135762467.00
201200A,888888,Medical Marijuana Collective,691,$83043615.00
201400A,517000,Telecommunications,164,$1007224935.00
200800A,621111,Offices of physicians (except mental health specialists),4754,$2700577121.60
200900A,722300,Special food services (including food service contractors & caterers),821,$118801169.75
201200A,621330,Offices of mental health practitioners (except physicians),900,$69515494.25
201000A,446120,"Cosmetics, beauty supplies, & perfume stores",763,$209513191.00
201400A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",5066,$536346718.17
201100A,234990,Other Heavy and Civil Engineering Construction,82,$149081858.95
200900A,323100,Printing & related support activities,933,$551436991.00
200800A,451211,Book stores,347,$130422514.00
201000A,235920,Glass and Glazing Contractors (1997 NAICS),167,$34399348.94
200800A,311300,Sugar & confectionery product mfg.,43,$8241463.00
201300A,451120,"Hobby, toy, & game stores",240,$97611546.61
200900A,333000,Machinery mfg.,83,$83709857.00
201300A,423920,Toy & hobby goods & supplies,324,$109592098.00
201000A,424300,"Apparel, piece goods, & notions",3304,$2442307260.41
201200A,115210,Support activities for animal production (including farriers),286,$27848766.00
200500A,238990,All other specialty trade contractors,735,$241291416.20
200900A,451110,Sporting goods stores,292,$146534488.00
200600A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",111,$86567272.68
201200A,444200,Lawn & garden equipment & supplies stores,121,$35125730.00
200600A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2297,$1019479517.63
201000A,454111,Electronic shopping,331,$26657833.00
200800A,621340,"Offices of physical, occupational & speech therapists, & audiologists",476,$34911883.44
201300A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),117,$192828270.50
201200A,541990,"All other professional, scientific, & technical services",10111,$1240176073.08
201000A,541910,Market research & public opinion polling,274,$148423200.00
200500A,711100,Performing arts companies,92,$177346414.00
201200A,813000,"Religious, grantmaking, civic, professional, & similar organizations",126,$8905391.00
200900A,443112,"Radio, television, & other electronics stores",753,$403468248.00
201000A,492000,Couriers & messengers,957,$23832925.00
200700A,323100,Printing & related support activities,772,$548692143.00
201200A,336000,Transportation equipment mfg.,90,$97722638.00
200500A,485300,Taxi & limousine service,89,$115777.00
201200A,561110,Office administrative services,1641,$802081828.43
201400A,423920,Toy & hobby goods & supplies,306,$105996995.00
200600A,532210,Consumer electronics & appliances rental,655,$579105429.04
201200A,325100,Basic chemical mfg.,31,$21280144.42
201300A,336000,Transportation equipment mfg.,94,$118050440.00
200600A,485210,Interurban & rural bus transportation,7,$0.00
200800A,531310,Real estate property managers,1994,$555295262.60
201400A,233210,Single Family Housing Construction (1997 NAICS),8483,$1773540342.89
201200A,812190,Other personal care services (including diet & weight reducing centers),847,$38442682.50
200900A,721310,Rooming & boarding houses,296,$239276072.00
200600A,523900,Other financial investment activities (including investment advice),1078,$3433490696.54
201300A,523900,Other financial investment activities (including investment advice),2377,$5477157107.73
200600A,453310,Used merchandise stores,227,$37483461.00
