Depart #,Dept,Bldg #,Sub ID,Maint Dist,Bldg Name,Bldg Desc,Community,Zip Code,Council Dist,Square Ft,Location 1,Location 2,Location 3,Location 4
50,R&P,709,*,ND,TEMESCAL CANYON PARK,TEMESCAL CANYON PARK,PACFC PALSDS,90272,11,0,"15900
",,"PACIFIC COAST
PACFC PALSDS, California 90272
(34.039000083000076, -118.54284742499999)","HY
"
50,R&P,709,A,ND,TEMESCAL CANYON PARK,TEMESCAL CANYON PARK,PACFC PALSDS,90272,11,0,"709
",,"RADCLIFFE
PACFC PALSDS, California 90272
(34.04271972600003, -118.53070012499995)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,709,B,ND,TEMESCAL CANYON PARK,TEMESCAL CANYON PARK,PACIFIC PALS,90272,11,0,"400
",,"TEMESCAL CANYON
PACIFIC PALS, California 90272
(34.047958239000025, -118.52951410999998)","RD
(44.15388848100008, 16.289998725000032)"
50,R&P,709,C,ND,TEMESCAL CANYON PARK,TEMESCAL CANYON PARK,PACIFIC PALS,90272,11,0,"15845
",,"ASILOMAR
PACIFIC PALS, California 90272
(34.04024223700003, -118.537032066)","BL
"
50,R&P,712,*,SD,TERRACE PARK,TERRACE PARK,LOS ANGELES,90006,1,0,"1300
",,"ALVARADO
LOS ANGELES, California 90006
(34.04496850600003, -118.28185223399998)","TE
(37.44860952100004, 116.29249852500004)"
50,R&P,712,A,SD,TERRACE PARK,,LOS ANGELES,90006,1,0,"1310
",,"ALVARADO
LOS ANGELES, California 90006
(34.04496850600003, -118.28185223399998)","TE
(37.44860952100004, 116.29249852500004)"
50,R&P,712,B,SD,TERRACE PARK,,LOS ANGELES,90006,1,0,"1344
",,"ALVARADO
LOS ANGELES, California 90006
(34.04496850600003, -118.28185223399998)","TE
(37.44860952100004, 116.29249852500004)"
50,R&P,712,C,SD,TERRACE PARK REC & PARKS SERVICE,REC & PARKS SERVICE,,90006,1,0,"1341
","S
(36.99999657200004, 127.49999749000006)","BONNIE BRAE
California 90006
(34.05010243400005, -118.29268904499997)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,713,*,SD,TINA COMMUNITY MINI PARK,THERESA LINDSAY COMMUNITY MINI PARK SR CITIZEN CTR,LOS ANGELES,90003,9,0,"5800
","S
(36.99999657200004, 127.49999749000006)","FIGUEROA
LOS ANGELES, California 90003
(33.963350054000045, -118.27393600099998)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,714,*,SD,38TH AND NORMANDIE PARK,38TH AND NORMANDIE PARK,LOS ANGELES,90062,8,0,"1287
","W
(31.802379474000077, -97.09166989999994)","38TH
LOS ANGELES, California 90062
(34.27438671800007, -118.53792863799998)","PL
(18.499996036000027, -73.39999621499999)"
50,R&P,716,*,SD,TOBERMAN RECREATION CENTER,TOBERMAN RECREATION CENTER,LOS ANGELES,90015,1,0,"1725
",,"TOBERMAN
LOS ANGELES, California 90015
(34.04142688600007, -118.27762217899999)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,716,A,SD,REC & PARKS SERVICE,REC & PARKS SERVICE,,90015,1,0,"1001
","W
(31.802379474000077, -97.09166989999994)","18TH
California 90015
(34.04012195700005, -118.26498963499995)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,720,*,SD,TRASK TRIANGLE,TRASK TRIANGLE,PLAYA DELREY,90293,6,0,"300
",,"TRASK
PLAYA DELREY, California 90293
(33.94446759500005, -118.43850182999995)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,720,A,,REC & PARKS SERVICE,REC & PARKS SERVICE,,90293,0,0,"7560
",,"EARLDOM
California 90293
(33.95493108800002, -118.44384865299998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,720,B,,REC & PARKS SERVICE,REC & PARKS SERVICE,,90293,0,0,"6304
",,"PACIFIC
California 90293
(33.959368323000035, -118.45132614899995)","AV
(13.349998027000026, 98.53332737400007)"
